season	depth	DIC
summer	0.5	2.0631
summer	0.5	2.917925
summer	0.5	2.6489
summer	0.5	2.159183333
summer	0.5	2.9211
summer	0.5	2.408683333
summer	0.5	2.432683333
summer	0.5	2.2346
summer	0.5	1.82
summer	0.5	2.99
summer	0.5	3.69
summer	0.5	1.462
summer	0.5	2.293
summer	0.5	2.37
summer	0.5	8.07
summer	0.5	7.7
summer	0.5	1.14
summer	0.5	1.63
summer	0.5	2.11
summer	0.5	1.2
summer	0.5	1.81
summer	0.5	1.86
summer_typhoon	0.5	2.7855
summer_typhoon	0.5	2.25725
summer_typhoon	0.5	4.21775
summer_typhoon	0.5	1.0725
summer_typhoon	0.5	1.87195
summer_typhoon	0.5	1.93805
winter	0.5	2.87675
winter	0.5	3.41525
winter	0.5	3.62225
winter	0.5	4.00825
winter	0.5	3.8365
winter	0.5	2.55415
winter	0.5	2.878975
winter	0.5	2.806575
winter	0.5	1.41745
winter	0.5	2.600025
winter	0.5	2.569075
winter	0.5	2.4211
winter	0.5	2.015283333
winter	0.5	2.71895
winter	0.5	2.58
winter	0.5	2.4
winter	0.5	1.197
winter	0.5	2.292
winter	0.5	2.2
winter	0.5	1
winter	0.5	1.68
winter	0.5	2.33
winter	0.5	1.87
autumn	1	2.813
autumn	1	2.4505
autumn	1	3.204
autumn	1	5.695125
autumn	1	2.0587
autumn	1	2.26505
autumn	1	2.82215
autumn	1	2.82215
autumn	1	2.22585
autumn	1	1.54435
autumn	1	3.09945
autumn	1	2.347383333
autumn	1	3.59645
autumn	1	3.73
autumn	1	1.783
autumn	1	1.299
autumn	1	2.058
autumn	1	7.82
autumn	1	0.34
autumn	1	1.63
autumn	1	1.94
autumn	1	1.52
autumn	1	1.48
autumn	1	1.13
autumn_typhoon	1	1.96875
autumn_typhoon	1	0.82365
autumn_typhoon	1	1.594775
autumn_typhoon	1	3.82
spring	1	3.19925
spring	1	4.17225
spring	1	3.91025
spring	1	2.8995
spring	1	3.43775
spring	1	3.3273
spring	1	3.129625
spring	1	3.0155
spring	1	3.099
spring	1	2.9634
spring	1	6.5538
spring	1	6.452775
spring	1	6.402375
spring	1	3.21595
spring	1	3.13895
spring	1	2.594175
spring	1	2.619675
spring	1	3.33795
spring	1	4.0624
spring	1	4.07535
spring	1	2.583483333
spring	1	3.386583333
spring	1	2.976263333
spring	1	2.24585
spring	1	3.354616667
spring	1	3.450366667
spring	1	1.87
spring	1	2.605
spring	1	2.37
spring	1	2.25
spring	1	1.38
spring	1	2.45
spring	1	2.54
spring	1	1.56
summer	1	3.47025
summer	1	3.35825
summer	1	4.094
summer	1	4.1555
summer	1	4.159
summer	1	4.39325
summer	1	3.034
summer	1	3.387
summer	1	3.7195
summer	1	3.9165
summer	1	4.10025
summer	1	4.534
summer	1	4.769
summer	1	4.73675
summer	1	2.39275
summer	1	2.6225
summer	1	3.177
summer	1	2.587
summer	1	2.34025
summer	1	2.505
summer	1	2.53125
summer	1	2.52675
summer	1	2.22525
summer	1	2.091166667
summer	1	3.11355
summer	1	1.94955
summer	1	2.087825
summer	1	1.972675
summer	1	2.56795
summer	1	2.568775
summer	1	3.270225
summer	1	6
summer	1	2.48745
summer	1	0.3934
summer	1	2.7666
summer	1	3.21885
summer	1	2.5973
summer	1	1.929433333
summer	1	3.160016667
summer	1	2.1706
summer	1	2.856333333
summer	1	2.4203
summer	1	2.02
summer	1	3.12
summer	1	3.69
summer	1	1.27
summer	1	2.328
summer	1	2.46
summer	1	7.03
summer	1	7.45
summer	1	1.05
summer	1	0.98
summer	1	2.15
summer	1	0.69
summer	1	1.51
summer	1	1.51
summer_typhoon	1	3.668
summer_typhoon	1	2.1535
summer_typhoon	1	4.66275
summer_typhoon	1	1.59725
summer_typhoon	1	1.42965
summer_typhoon	1	1.18855
winter	1	2.923
winter	1	3.241
winter	1	3.59425
winter	1	3.941
winter	1	3.66725
winter	1	2.520425
winter	1	2.966025
winter	1	2.61035
winter	1	1.581375
winter	1	2.631575
winter	1	2.582475
winter	1	2.51265
winter	1	2.158283333
winter	1	2.675216667
winter	1	2.76
winter	1	2.4
winter	1	1.513
winter	1	2.36
winter	1	2.54
winter	1	1.35
winter	1	1.81
winter	1	2.52
winter	1	1.94
autumn	2	2.97825
autumn	2	2.54825
autumn	2	3.05175
autumn	2	6.0585
autumn	2	1.9269
autumn	2	2.341225
autumn	2	2.5141
autumn	2	2.5244
autumn	2	2.68155
autumn	2	1.685425
autumn	2	3.447183333
autumn	2	2.3116
autumn	2	3.015183333
autumn	2	4.12
autumn	2	1.919
autumn	2	1.317
autumn	2	2.267
autumn	2	7.55
autumn	2	0.36
autumn	2	1.91
autumn	2	1.64
autumn	2	1.27
autumn	2	1.45
autumn	2	1.07
autumn_typhoon	2	1.345
autumn_typhoon	2	0.8823
autumn_typhoon	2	2.204425
autumn_typhoon	2	3.01
spring	2	3.32675
spring	2	2.96575
spring	2	3.417
spring	2	2.817
spring	2	3.15325
spring	2	3.3654
spring	2	3.3626
spring	2	3.184675
spring	2	3.28235
spring	2	2.9845
spring	2	6.871675
spring	2	6.719875
spring	2	6.831375
spring	2	3.7138
spring	2	3.55555
spring	2	2.94875
spring	2	2.568175
spring	2	2.719
spring	2	3.1447
spring	2	4.3948
spring	2	2.28095
spring	2	3.847566667
spring	2	2.376856667
spring	2	1.5694
spring	2	3.36
spring	2	3.322066667
spring	2	1.9
spring	2	2.172
spring	2	1.573
spring	2	1.92
spring	2	1.4
spring	2	2.12
spring	2	2.28
spring	2	1.3
summer	2	2.64975
summer	2	3.10825
summer	2	4.255
summer	2	4.88875
summer	2	4.63675
summer	2	4.4995
summer	2	2.93
summer	2	3.67025
summer	2	4.4415
summer	2	5.629
summer	2	4.73975
summer	2	4.197
summer	2	4.4755
summer	2	4.42925
summer	2	2.08
summer	2	3.18325
summer	2	3.95575
summer	2	1.7825
summer	2	2.001
summer	2	2.347
summer	2	2.598
summer	2	2.54425
summer	2	2.16825
summer	2	1.721333333
summer	2	2.96015
summer	2	1.7356
summer	2	1.963025
summer	2	1.7838
summer	2	2.826225
summer	2	3.906425
summer	2	3.8553
summer	2	6.38905
summer	2	1.8871
summer	2	1.6299
summer	2	2.16455
summer	2	2.9352
summer	2	2.00635
summer	2	1.97182
summer	2	3.3232
summer	2	2.204916667
summer	2	2.77965
summer	2	2.1191
summer	2	1.92
summer	2	3.77
summer	2	3.26
summer	2	2.236
summer	2	1.987
summer	2	2.3
summer	2	6.75
summer	2	7.19
summer	2	1.03
summer	2	1.01
summer	2	2.56
summer	2	0.84
summer	2	2.32
summer	2	1.4
summer_typhoon	2	1.892
summer_typhoon	2	1.81675
summer_typhoon	2	3.85875
summer_typhoon	2	1.57225
summer_typhoon	2	1.74865
summer_typhoon	2	1.16745
winter	2	3.52975
winter	2	3.16075
winter	2	3.88575
winter	2	3.6605
winter	2	3.686
winter	2	2.3198
winter	2	2.856325
winter	2	2.7853
winter	2	2.8026
winter	2	2.6111
winter	2	2.771025
winter	2	2.785516667
winter	2	2.133866667
winter	2	2.652616667
winter	2	2.62
winter	2	2.45
winter	2	1.432
winter	2	2.269
winter	2	2.42
winter	2	1.23
winter	2	1.37
winter	2	1.85
winter	2	1.84
autumn	3.5	3.4865
autumn	3.5	4.44325
autumn	3.5	4.7245
autumn	3.5	6.050625
autumn	3.5	2.7647
autumn	3.5	2.8012
autumn	3.5	2.98585
autumn	3.5	2.98585
autumn	3.5	3.256225
autumn	3.5	1.80035
autumn	3.5	5.9366
autumn	3.5	3.22685
autumn	3.5	3.59885
autumn	3.5	4.37
autumn	3.5	6.028
autumn	3.5	3.831
autumn	3.5	2.856
autumn	3.5	10.32
autumn	3.5	1.47
autumn	3.5	7.64
autumn	3.5	1.71
autumn	3.5	10.9
autumn	3.5	3.98
autumn	3.5	1.5
autumn_typhoon	3.5	2.0675
autumn_typhoon	3.5	1.4216
autumn_typhoon	3.5	2.661625
autumn_typhoon	3.5	3.51
spring	3.5	5.10025
spring	3.5	7.3955
spring	3.5	4.75775
spring	3.5	5.53325
spring	3.5	7.51725
spring	3.5	3.4519
spring	3.5	2.925175
spring	3.5	2.519425
spring	3.5	3.188325
spring	3.5	3.024325
spring	3.5	8.02115
spring	3.5	7.884275
spring	3.5	7.915975
spring	3.5	4.028675
spring	3.5	4.07675
spring	3.5	3.6709
spring	3.5	4.408725
spring	3.5	3.36745
spring	3.5	5.2686
spring	3.5	6.026875
spring	3.5	4.603266667
spring	3.5	5.079083333
spring	3.5	4.661575
spring	3.5	1.803216667
spring	3.5	3.863033333
spring	3.5	4.26815
spring	3.5	1.89
spring	3.5	2.58
spring	3.5	3.347
spring	3.5	2.17
spring	3.5	1.3
spring	3.5	2.88
spring	3.5	3.25
spring	3.5	5.06
summer	3.5	10.70625
summer	3.5	11.38925
summer	3.5	12.95125
summer	3.5	14.7195
summer	3.5	12.54775
summer	3.5	11.405
summer	3.5	8.18075
summer	3.5	10.492
summer	3.5	11.376
summer	3.5	13.1125
summer	3.5	10.27525
summer	3.5	5.867
summer	3.5	7.1745
summer	3.5	7.5045
summer	3.5	9.4925
summer	3.5	10.907
summer	3.5	10.56825
summer	3.5	4.7505
summer	3.5	7.804
summer	3.5	9.37725
summer	3.5	9.7765
summer	3.5	9.403
summer	3.5	7.39775
summer	3.5	5.844333333
summer	3.5	6.383775
summer	3.5	6.38725
summer	3.5	4.472875
summer	3.5	1.971275
summer	3.5	7.78095
summer	3.5	8.412725
summer	3.5	8.3661
summer	3.5	7.22345
summer	3.5	2.953
summer	3.5	2.0253
summer	3.5	3.67025
summer	3.5	6.510675
summer	3.5	4.579
summer	3.5	3.89952
summer	3.5	8.069866667
summer	3.5	4.786366667
summer	3.5	3.200166667
summer	3.5	6.0199
summer	3.5	6.25
summer	3.5	11.42
summer	3.5	nan
summer	3.5	5.966
summer	3.5	5.923
summer	3.5	3.4
summer	3.5	12.5
summer	3.5	9.83
summer	3.5	3.9
summer	3.5	1.2
summer	3.5	7.72
summer	3.5	6.11
summer	3.5	6.42
summer	3.5	4.25
summer_typhoon	3.5	2.69325
summer_typhoon	3.5	2.4475
summer_typhoon	3.5	4.74775
summer_typhoon	3.5	2.19625
summer_typhoon	3.5	2.05855
summer_typhoon	3.5	1.5963
winter	3.5	3.21925
winter	3.5	3.271
winter	3.5	3.6705
winter	3.5	4.104
winter	3.5	4.25775
winter	3.5	2.52885
winter	3.5	3.0854
winter	3.5	2.55995
winter	3.5	3.3034
winter	3.5	2.5187
winter	3.5	4.220175
winter	3.5	2.277133333
winter	3.5	2.2648
winter	3.5	3.152483333
winter	3.5	2.68
winter	3.5	2.48
winter	3.5	0.859
winter	3.5	2.744
winter	3.5	2.91
winter	3.5	0.95
winter	3.5	1.92
winter	3.5	2.22
winter	3.5	3.24
